fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form,Notes
36105,NY,Sullivan County,4,https://sullivanny.us,,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,
36107,NY,Tioga County,2,https://www.tiogacountyny.com,,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,
36109,NY,Tompkins County,3,https://www.tompkinscountyny.gov,,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,
36111,NY,Ulster County,3,https://ulstercountyny.gov,,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,
36113,NY,Warren County,3,https://warrencountyny.gov,,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,
36115,NY,Washington County,3,https://www.washingtoncountyny.gov,,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,
36117,NY,Wayne County,1,https://web.co.wayne.ny.us,,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,
36119,NY,Westchester County,1,https://www.westchestergov.com,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,
36121,NY,Wyoming County,6,https://www.wyomingco.net,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
36123,NY,Yates County,1,https://www.yatescounty.org,,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
