fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form,Notes
29045,MO,Clark County,9,http://clarkcountymo.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29047,MO,Clay County,1,https://www.claycountymo.gov/,https://www.voteclaycountymo.gov/,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,
29049,MO,Clinton County,1,https://clintoncomo.org/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
29051,MO,Cole County,3,https://www.colecounty.org/,,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,
29053,MO,Cooper County,6,https://www.coopercountymo.gov/,https://clerk.coopercountymo.gov/,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,
29055,MO,Crawford County,6,https://crawfordcountymo.net/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
29057,MO,Dade County,8,https://www.dadecountymo.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29059,MO,Dallas County,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29061,MO,Daviess County,8,https://www.daviesscountymo.gov/,,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,
29063,MO,DeKalb County,3,https://www.dekalbcountymo.com/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,compromised? goofy. 
29065,MO,Dent County,7,https://www.salemmo.com/dent/index.php,,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,
29067,MO,Douglas County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29069,MO,Dunklin County,7,https://dunklincounty.org/,https://thinbluetech.com/elections/general/senate.php,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29071,MO,Franklin County,1,https://www.franklinmo.org/,,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,
29073,MO,Gasconade County,6,https://gasconadecounty.org/,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
29075,MO,Gentry County,8,https://gentrycounty.net/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29077,MO,Greene County,2,https://greenecountymo.gov/,https://vote.greenecountymo.gov/,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,
29079,MO,Grundy County,7,https://www.grundycountymo.com/,,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,
29081,MO,Harrison County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29083,MO,Henry County,6,https://www.henrycomo.com/,,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,
29085,MO,Hickory County,8,https://hickorycomo.net/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
29087,MO,Holt County,8,http://holtcounty.org/,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
29089,MO,Howard County,6,https://howardcountyvotes.org/,,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,
29091,MO,Howell County,7,https://howellcounty.net/,,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,
29093,MO,Iron County,7,https://ironcountymo.gov/,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
29095,MO,Jackson County,1,https://www.jacksongov.org/Home,https://jcebmo.org/,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,
29097,MO,Jasper County,3,https://www.jaspercountymo.gov/,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,
29099,MO,Jefferson County,1,https://www.jeffcomo.org/,,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,
29101,MO,Johnson County,4,http://www.jococourthouse.com/,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,
29103,MO,Knox County,9,https://www.knoxcountymo.org/,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
29105,MO,Laclede County,6,https://lacledecountyclerk.org/,,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,
29107,MO,Lafayette County,1,https://www.lafayettecountymo.com/,,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,
29109,MO,Lawrence County,6,https://www.lawrencecountymo.org/,,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,
29111,MO,Lewis County,9,https://www.lewiscountymo.org/,https://lewiscountyvotes.org/,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
29113,MO,Lincoln County,1,https://lcmo.us/,https://lincolncountymoclerk.gov/,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,
29115,MO,Linn County,7,https://linncomo.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29117,MO,Livingston County,6,http://www.livingstoncountymo.com/,,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,
29119,MO,McDonald County,2,https://mcdonaldcountymo.gov/,,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,
29121,MO,Macon County,7,https://www.maconcountymo.com/,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,
29123,MO,Madison County,6,https://madisoncountymo.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29125,MO,Maries County,8,https://www.mariescountymo.gov/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nearly useless
29127,MO,Marion County,5,https://marioncountymo.com/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
29129,MO,Mercer County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29131,MO,Miller County,6,https://www.millercountymissouri.org/,,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,
29133,MO,Mississippi County,6,http://www.misscomo.net/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
29135,MO,Moniteau County,3,https://www.moniteau.net/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,webstite useless
29137,MO,Monroe County,9,http://www.monroecountymo.org/index.php,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
29139,MO,Montgomery County,6,http://mcmo.us/,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
29141,MO,Morgan County,8,https://www.morgan-county.org/,,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,
29143,MO,New Madrid County,7,http://www.new-madrid.mo.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29145,MO,Newton County,3,https://www.newtoncountymo.com/,,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,
29147,MO,Nodaway County,6,https://nodawaycountymo.us/,,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,
29149,MO,Oregon County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29151,MO,Osage County,3,http://osagecountygov.com/,,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,
29153,MO,Ozark County,9,https://www.ozarkcounty.net/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29155,MO,Pemiscot County,7,https://www.pemiscotcounty.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nearly useless
29157,MO,Perry County,6,https://perrycountymo.us/,,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,
29159,MO,Pettis County,4,http://pettisclerk.com/,,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,
29161,MO,Phelps County,5,http://www.phelpscounty.org/,,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
29163,MO,Pike County,6,https://pikecountymo.net/,https://pikemocountyclerk.org/,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,
29165,MO,Platte County,1,https://www.plattemovotes.org/,,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,
29167,MO,Polk County,2,https://polkcountymo.gov/,,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,
29169,MO,Pulaski County,5,https://www.pulaskivotes.org/,,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,
29171,MO,Putnam County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29173,MO,Ralls County,9,https://www.rallscountymo.net/,,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,
29175,MO,Randolph County,6,https://www.randolphcountyclerkmo.com/,,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,
29177,MO,Ray County,1,https://raycountymo.com/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
29179,MO,Reynolds County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29181,MO,Ripley County,9,https://www.ripleycountymissouri.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless 
29183,MO,St. Charles County,1,https://www.sccmo.org/,,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,
29185,MO,St. Clair County,8,https://www.stclaircomo.com/,,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,
29186,MO,Ste. Genevieve County,6,https://www.stegencounty.org/,,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,
29187,MO,St. Francois County,4,https://sfcgov.org/,,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,
29189,MO,St. Louis County,1,https://stlouiscountymo.gov/,,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,
29195,MO,Saline County,6,https://www.salinecountymo.org/,https://www.salinecountyclerk.com/,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,
29197,MO,Schuyler County,9,https://www.schuylercountymo.org/,,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,
29199,MO,Scotland County,9,https://www.scotlandcountymo.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,webstie nearly useless 
29201,MO,Scott County,4,https://www.scottcountymo.com/,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
29203,MO,Shannon County,9,https://www.shannon-county.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29205,MO,Shelby County,9,https://shelbycountymo.com/ ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29207,MO,Stoddard County,6,https://stoddardcountyclerk.gov/,,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,
29209,MO,Stone County,6,https://stonecountyclerk.com/,,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,
29211,MO,Sullivan County,9,http://www.sullivan.mo.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,website useless
29213,MO,Taney County,4,https://www.taneycounty.org/,,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,
29215,MO,Texas County,9,https://www.texascountymissouri.gov/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
29217,MO,Vernon County,7,https://vernoncountymo.org/,,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,
29219,MO,Warren County,1,https://warrencountymoclerk.com/,,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,
29221,MO,Washington County,6,https://www.washcoclerk.org/,,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,
29223,MO,Wayne County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29225,MO,Webster County,2,https://webstercountymo.gov/,,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,
29227,MO,Worth County,9,http://worthcounty.us/,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,
29229,MO,Wright County,6,https://www.wrightcountymo.gov/,,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,
29510,MO,St. Louis city,1,https://stlouiscountymo.gov/,,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
